iter	Passed	Remaining
0	142	142127
1	142	71175
2	142	47518
3	143	35688
4	143	28587
5	143	23853
6	144	20470
7	144	17933
8	144	15959
9	145	14380
10	145	13089
11	145	12013
12	146	11102
13	146	10323
14	146	9647
15	147	9054
16	147	8532
17	147	8068
18	148	7652
19	148	7278
20	148	6940
21	149	6632
22	149	6351
23	149	6093
24	150	5856
25	150	5637
26	150	5435
27	151	5247
28	151	5071
29	151	4908
30	152	4755
31	152	4612
32	152	4477
33	153	4350
34	153	4230
35	153	4117
36	154	4010
37	154	3909
38	154	3813
39	155	3721
40	155	3634
41	155	3552
42	156	3473
43	156	3398
44	156	3326
45	157	3257
46	157	3191
47	157	3128
48	158	3067
49	158	3009
50	158	2953
51	159	2899
52	159	2847
53	159	2797
54	160	2749
55	160	2703
56	160	2658
57	161	2616
58	161	2574
59	161	2533
60	162	2494
61	162	2456
62	162	2420
63	163	2384
64	163	2350
65	163	2316
66	164	2284
67	164	2250
68	164	2219
69	164	2190
70	165	2161
71	165	2133
72	165	2106
73	166	2079
74	166	2053
75	166	2028
76	167	2003
77	167	1979
78	167	1956
79	168	1933
80	168	1910
81	168	1889
82	169	1868
83	169	1847
84	169	1826
85	169	1806
86	170	1786
87	170	1767
88	170	1749
89	171	1731
90	171	1713
91	171	1696
92	172	1679
93	172	1663
94	172	1647
95	173	1631
96	173	1615
97	173	1600
98	174	1585
99	174	1570
100	174	1556
101	175	1541
102	175	1527
103	175	1513
104	175	1500
105	176	1487
106	176	1474
107	176	1461
108	177	1449
109	177	1437
110	177	1425
111	178	1413
112	178	1402
113	178	1390
114	179	1379
115	179	1368
116	179	1357
117	180	1346
118	180	1335
119	180	1325
120	181	1315
121	181	1305
122	181	1294
123	181	1285
124	182	1275
125	182	1266
126	182	1257
127	183	1247
128	183	1238
129	183	1229
130	184	1221
131	184	1212
132	184	1204
133	185	1196
134	185	1188
135	185	1180
136	186	1172
137	186	1164
138	186	1156
139	187	1148
140	187	1141
141	187	1133
142	188	1126
143	188	1119
144	188	1112
145	188	1105
146	189	1098
147	189	1091
148	190	1085
149	190	1078
150	190	1072
151	191	1065
152	191	1059
153	191	1052
154	192	1046
155	192	1040
156	192	1034
157	192	1028
158	193	1022
159	193	1016
160	193	1010
161	194	1004
162	194	999
163	194	993
164	195	988
165	195	982
166	195	977
167	196	971
168	196	966
169	196	961
170	197	956
171	197	950
172	197	945
173	198	940
174	198	935
175	198	931
176	199	926
177	199	921
178	199	916
179	200	912
180	200	906
181	200	902
182	201	897
183	201	892
184	201	888
185	202	884
186	202	879
187	202	875
188	202	870
189	203	866
190	203	862
191	203	858
192	204	854
193	204	849
194	204	845
195	205	841
196	205	837
197	205	833
198	206	830
199	206	826
200	206	822
201	207	818
202	207	814
203	207	810
204	208	807
205	208	803
206	208	799
207	209	796
208	209	792
209	209	789
210	210	785
211	210	782
